City,County,Starting_Value,Current_Value,Appreciation_Percent
Rio Vista,Johnson County,144127,332841,130.94
Venus,Johnson County,143071,329337,130.19
Bridgeport,Wise County,97759,223996,129.13
Princeton,Collin County,128510,292665,127.74
Josephine,Collin County,126582,284087,124.43
Melissa,Collin County,193446,432929,123.8
Mabank,Kaufman County,123866,275103,122.1
Cross Roads,Denton County,151261,335495,121.8
Newark,Wise County,137883,304721,121
Northlake,Denton County,225425,497286,120.6
Rockwall,Rockwall County,218402,481700,120.56
Willow Park,Parker County,191852,422738,120.35
Royse City,Rockwall County,142469,313807,120.26
Aledo,Parker County,249580,538965,115.95
Weatherford,Parker County,185657,398589,114.69
Chico,Wise County,170193,363420,113.53
Lavon,Collin County,164813,351311,113.16
Heath,Rockwall County,346786,714647,106.08
Kemp,Kaufman County,134689,268083,99.04
Crandall,Kaufman County,136733,267841,95.89
Fate,Rockwall County,190573,361337,89.61
Forney,Kaufman County,165424,310299,87.58
Cresson,Parker County,293535,497337,69.43
Scurry,Kaufman County,202609,343178,69.38
Oak Ridge,Kaufman County,236327,392354,66.02
Cross Timber,Johnson County,269501,446434,65.65
Lantana,Denton County,382371,616234,61.16
Briaroaks,Johnson County,251940,400590,59
New Fairview,Wise County,263269,387618,47.23
Millsap,Parker County,389622,429994,10.36
Oak Grove,Kaufman County,311863,323786,3.82
Annetta South,Parker County,656873,663731,1.04
Perrin,Jack County,363264,366065,0.77
Hebron,Denton County,668776,670524,0.26
Annetta North,Parker County,731459,732623,0.16
