City,County,Latest_Date,Current_Home_Value
Rockwall,Rockwall County,2026-05-31,481700
Rowlett,Dallas County,2026-05-31,372761
Royse City,Rockwall County,2026-05-31,313807
Runaway Bay,Wise County,2026-05-31,291978
Sachse,Dallas County,2026-05-31,436713
Saginaw,Tarrant County,2026-05-31,301830
Saint Paul,Collin County,2026-05-31,591392
Sanger,Denton County,2026-05-31,360355
Sansom Park,Tarrant County,2026-05-31,203092
Scurry,Kaufman County,2026-05-31,343178
Seagoville,Dallas County,2026-05-31,272872
Southlake,Tarrant County,2026-05-31,1325023
Springtown,Parker County,2026-05-31,391496
Sunnyvale,Dallas County,2026-05-31,642714
Sunset,Montague County,2026-05-31,462881
Terrell,Kaufman County,2026-05-31,282981
The Colony,Denton County,2026-05-31,407139
Trophy Club,Denton County,2026-05-31,703783
University Park,Dallas County,2026-05-31,2481465
Venus,Johnson County,2026-05-31,329337
Watauga,Tarrant County,2026-05-31,279634
Waxahachie,Ellis County,2026-05-31,373008
Weatherford,Parker County,2026-05-31,398589
West Tawakoni,Hunt County,2026-05-31,191877
Westlake,Tarrant County,2026-05-31,3147489
Westover Hills,Tarrant County,2026-05-31,2648340
Westworth Village,Tarrant County,2026-05-31,350307
White Settlement,Tarrant County,2026-05-31,223155
Willow Park,Parker County,2026-05-31,422738
Wills Point,Van Zandt County,2026-05-31,256807
Wilmer,Dallas County,2026-05-31,226858
Wolfe City,Hunt County,2026-05-31,281874
Wylie,Collin County,2026-05-31,425576
